Agency,Department,Year,Requests Pending Start Year,Requests Received,Requests Processed,Requests Pending End Year,Released in Full Ratio,Released in Part Ratio,Denied in Full Ratio
DHS,OGC,2013,,,,,,,
DHS,OPS,2015,,,,,,,
DHS,OPS,2014,0,59,59,0,0.3333,0.4074,0.2593
DHS,OPS,2013,0,45,45,0,0.4348,0.5217,0.0435
DHS,PLCY,2012,0,26,26,0,0.375,0.125,0.5
DHS,OPS,2012,0,60,60,0,0.12,0.88,0
DHS,PLCY,2011,0,26,24,2,0.4444,0.4444,0.1111
DHS,OPS,2011,0,37,37,0,0.45,0.5,0.05
DHS,OPS,2010,0,47,47,0,0.3704,0.6296,0
DHS,I&A,2009,0,49,41,8,0.2222,0.6667,0.1111
DHS,OPS,2009,0,32,32,0,0.6923,0.3077,0
DHS,PLCY,2008,0,36,27,9,0.6154,0.2308,0.1538
DHS,OGC,2008,0,19,13,6,0.5,0.25,0.25
DHS,S&T,2014,1,68,68,1,0.3793,0.3793,0.2414
DHS,S&T,2013,1,26,26,1,0,0.8889,0.1111
DHS,S&T,2012,1,36,37,0,0.1905,0.8095,0
DHS,S&T,2011,1,33,33,1,0.2105,0.6316,0.1579
DHS,US-VISIT,2010,1,1934,1657,278,0.0037,0.9951,0.0012
DHS,US-VISIT,2008,1,2080,2077,4,0.0005,0.9985,0.001
DHS,S&T,2015,1,38,33,6,0.0588,0.8235,0.1176
DHS,S&T,2010,2,39,40,1,0.2667,0.6,0.1333
DHS,US-VISIT,2009,2,26,27,1,0.4286,0.4286,0.1429
DHS,CRCL,2008,2,36,32,6,0.2222,0.6667,0.1111
DHS,CRCL,2014,3,80,74,9,0.2083,0.75,0.0417
DHS,FLETC,2014,3,103,99,7,0.22,0.76,0.02
DHS,CRCL,2013,3,73,73,3,0.5143,0.4857,0
DHS,I&A,2013,3,109,78,34,0.0909,0.6364,0.2727
DHS,OPS,2008,3,36,39,0,0.4444,0.5,0.0556
DHS,OIG,2011,4,175,170,9,0.1522,0.7283,0.1196
DHS,MGMT,2009,4,186,180,10,0.3902,0.5854,0.0244
DHS,FLETC,2012,5,109,102,12,0.4,0.5091,0.0909
DHS,OGC,2012,5,19,17,7,0.8,0.2,0
DHS,I&A,2011,5,71,54,22,0.3529,0.1765,0.4706
DHS,CRCL,2009,5,13,7,11,0,1,0
DHS,CRCL,2012,6,84,87,3,0.2424,0.7576,0
DHS,OGC,2009,6,20,9,17,0,0.5,0.5
DHS,MGMT,2008,6,192,194,4,0.1905,0.7381,0.0714
DHS,CRCL,2011,7,73,74,6,0.4615,0.5385,0
DHS,FLETC,2008,7,166,159,14,0.4878,0.2805,0.2317
DHS,FLETC,2015,7,122,100,29,0.3409,0.6591,0
DHS,I&A,2010,8,46,48,6,0.35,0.55,0.1
DHS,OIG,2012,9,180,166,23,0.1074,0.7686,0.124
DHS,OIG,2010,9,187,192,4,0.0909,0.8099,0.0992
DHS,PLCY,2009,9,46,16,39,0.3077,0.5385,0.1538
DHS,CRCL,2015,9,40,30,19,0,1,0
DHS,MGMT,2010,10,256,253,13,0.3206,0.6183,0.0611
DHS,CRCL,2010,11,20,24,7,0.375,0.625,0
DHS,S&T,2009,11,53,62,2,0.2973,0.6216,0.0811
